id_assessment,code_module,code_presentation,assessment_type,date,weight
1,M1,P1,Assignment,2022-06-30,48.18
2,M4,P4,Exam,2022-11-26,26.76
3,M9,P9,Assignment,2022-11-03,26.12
4,M6,P6,Exam,2022-05-05,17.57
5,M9,P9,Assignment,2022-03-23,11.89
6,M6,P6,Exam,2022-11-29,89.46
7,M2,P2,Exam,2022-05-31,44.47
8,M6,P6,Exam,2022-10-23,28.63
9,M8,P8,Assignment,2022-02-18,81.76
10,M4,P4,Assignment,2022-11-14,59.42
11,M10,P10,Exam,2022-12-11,49.91
12,M3,P3,Exam,2022-04-08,91.67
13,M1,P1,Quiz,2022-10-17,44.7
14,M9,P9,Exam,2022-04-01,50.47
15,M4,P4,Assignment,2022-05-24,95.74
16,M9,P9,Quiz,2022-05-26,27.93
17,M10,P10,Quiz,2022-06-28,35.21
18,M4,P4,Quiz,2022-12-10,86.08
19,M6,P6,Quiz,2022-12-22,55.85
20,M4,P4,Exam,2022-01-03,57.57
21,M1,P1,Quiz,2022-12-07,38.7
22,M8,P8,Exam,2022-04-01,87.42
23,M2,P2,Quiz,2022-01-09,24.19
24,M7,P7,Exam,2022-05-01,13.5
25,M3,P3,Assignment,2022-11-14,65.16
26,M7,P7,Quiz,2022-01-31,69.38
27,M9,P9,Assignment,2022-05-12,66.59
28,M5,P5,Quiz,2022-06-26,89.39
29,M9,P9,Exam,2022-05-03,32.22
30,M1,P1,Assignment,2022-10-23,52.54
31,M1,P1,Assignment,2022-08-15,16.74
32,M8,P8,Exam,2022-09-15,63.57
33,M2,P2,Assignment,2022-05-21,75.2
34,M4,P4,Assignment,2022-04-11,61.87
35,M6,P6,Exam,2022-06-27,52.17
36,M4,P4,Assignment,2022-07-26,87.82
37,M3,P3,Assignment,2022-10-02,98.38
38,M6,P6,Assignment,2022-06-12,64.54
39,M5,P5,Quiz,2022-04-13,27.06
40,M1,P1,Exam,2022-03-12,95.05
41,M1,P1,Quiz,2022-08-02,51.11
42,M4,P4,Assignment,2022-07-19,61.77
43,M8,P8,Exam,2022-07-18,22.58
44,M10,P10,Assignment,2022-11-11,97.52
45,M5,P5,Assignment,2022-08-21,43.37
46,M9,P9,Assignment,2022-03-11,29.3
47,M9,P9,Assignment,2022-11-08,15.54
48,M8,P8,Exam,2022-11-27,51.28
49,M8,P8,Exam,2022-02-20,27.77
50,M8,P8,Quiz,2022-12-29,31.7
51,M5,P5,Quiz,2022-10-16,55.43
52,M1,P1,Assignment,2022-04-09,91.51
53,M2,P2,Assignment,2022-12-01,96.75
54,M3,P3,Quiz,2022-08-07,93.86
55,M8,P8,Exam,2022-02-25,37.75
56,M9,P9,Assignment,2022-03-10,59.24
57,M7,P7,Exam,2022-07-15,92.84
58,M9,P9,Quiz,2022-10-18,36.08
59,M3,P3,Assignment,2022-03-11,32.17
60,M9,P9,Assignment,2022-07-26,35.66
