id_student,id_assessment,date_submitted,score
1,47,2022-04-22,31.81
1,26,2022-05-11,41.32
1,44,2022-05-31,39.94
1,7,2022-10-01,14.57
1,28,2022-03-14,76.06
2,34,2022-03-17,61.98
2,9,2022-10-07,25.95
2,50,2022-04-01,13.59
2,56,2022-11-29,83.49
2,1,2022-11-07,15.69
2,28,2022-09-01,7.34
3,59,2022-12-06,94.09
3,27,2022-09-11,22.16
3,51,2022-06-22,88.12
3,52,2022-12-25,23.33
3,30,2022-01-20,32.22
3,25,2022-12-02,86.46
4,35,2022-06-12,9.18
4,43,2022-01-23,76.48
4,40,2022-06-05,11.34
4,39,2022-11-29,91.07
4,18,2022-08-07,39.04
5,24,2022-09-06,4.69
5,3,2022-12-14,51.23
5,56,2022-02-10,82.23
5,30,2022-11-07,89.92
5,7,2022-11-14,18.59
5,15,2022-03-17,37.63
5,54,2022-04-29,51.56
5,23,2022-06-15,89.85
6,20,2022-11-16,18.9
6,31,2022-10-25,57.02
6,6,2022-12-22,95.76
6,22,2022-05-20,87.1
6,59,2022-06-24,92.25
6,50,2022-06-03,88.44
6,23,2022-12-04,90.0
6,16,2022-11-30,93.43
7,28,2022-10-17,67.02
7,45,2022-05-15,79.51
7,56,2022-12-02,29.89
7,38,2022-11-08,58.36
7,14,2022-11-29,70.85
8,52,2022-11-27,60.75
8,20,2022-02-26,96.26
8,46,2022-08-27,60.19
8,40,2022-03-04,83.74
8,14,2022-04-01,29.95
9,31,2022-08-11,90.4
9,19,2022-10-27,53.56
9,37,2022-08-17,74.98
9,56,2022-12-19,29.07
9,15,2022-06-21,9.57
9,14,2022-12-20,1.47
9,16,2022-09-26,76.32
10,49,2022-12-28,36.81
10,1,2022-06-19,23.72
10,13,2022-06-01,42.54
10,48,2022-10-09,64.7
10,8,2022-01-15,14.85
10,53,2022-09-05,26.72
10,36,2022-09-28,17.63
11,39,2022-10-10,28.5
11,47,2022-11-17,71.46
11,55,2022-09-13,97.97
11,1,2022-05-08,34.87
11,31,2022-12-01,13.56
12,32,2022-04-19,76.87
12,24,2023-01-01,18.57
12,45,2022-08-26,23.73
12,25,2022-11-20,18.74
12,9,2022-01-21,34.54
12,58,2022-10-10,24.67
12,31,2022-02-28,23.56
13,9,2022-08-25,1.11
13,30,2022-04-15,19.63
13,43,2022-05-20,85.41
13,18,2022-10-02,70.88
13,27,2022-06-14,94.65
13,41,2022-02-19,33.9
13,17,2022-04-28,5.6
13,8,2022-10-29,78.69
14,40,2022-06-23,66.41
14,16,2022-02-06,0.5
14,33,2022-05-02,85.24
14,26,2022-01-18,13.38
14,59,2022-05-10,31.75
15,28,2022-07-30,94.35
15,27,2022-07-22,68.9
15,21,2022-06-08,30.19
15,9,2022-01-25,49.34
15,15,2022-01-31,44.44
15,23,2022-02-28,28.88
15,4,2022-08-06,44.76
16,11,2022-01-27,55.44
16,39,2022-09-06,21.33
16,23,2022-12-11,47.15
16,18,2022-11-17,4.2
16,35,2022-02-17,79.61
16,27,2022-07-17,21.35
16,38,2023-01-01,12.0
17,30,2022-07-01,8.25
17,12,2022-05-05,65.26
17,48,2022-03-23,47.2
17,54,2022-01-07,58.85
17,33,2022-01-01,1.57
18,19,2022-03-12,47.99
18,11,2022-05-10,66.32
18,58,2022-09-02,99.75
18,18,2022-01-11,0.92
18,4,2022-11-15,55.44
18,1,2022-10-03,13.87
18,43,2022-01-02,46.55
18,57,2022-02-13,10.75
19,50,2022-11-25,33.02
19,23,2022-12-05,14.35
19,37,2022-11-28,4.23
19,13,2022-02-25,96.65
19,46,2022-09-28,66.93
20,3,2022-03-19,57.01
20,6,2022-03-27,41.34
20,55,2022-11-01,81.78
20,41,2022-11-22,62.56
20,42,2022-07-11,41.93
20,57,2022-11-11,44.93
20,25,2022-11-09,53.79
20,54,2022-04-29,94.99
21,29,2022-11-30,43.39
21,25,2022-10-22,7.7
21,57,2022-08-26,52.17
21,16,2022-08-21,98.56
21,32,2022-03-10,48.09
21,10,2022-12-09,51.94
21,13,2022-01-30,76.54
21,8,2022-02-05,22.32
22,31,2022-06-23,59.82
22,29,2022-12-24,40.89
22,36,2022-07-06,63.5
22,28,2022-05-05,77.27
22,39,2022-06-20,39.76
22,25,2022-03-03,75.81
22,46,2022-03-07,31.06
23,35,2022-02-13,23.93
23,31,2022-11-15,90.15
23,26,2022-11-14,67.84
23,48,2022-11-25,87.05
23,56,2022-03-19,50.49
23,55,2022-03-28,89.65
23,6,2022-03-07,47.14
24,42,2022-02-25,64.49
24,56,2022-10-25,2.85
24,25,2022-09-06,21.12
24,46,2022-03-23,81.91
24,14,2022-06-23,76.35
25,35,2022-04-25,71.78
25,3,2022-01-28,43.92
25,33,2022-05-29,38.83
25,52,2022-10-21,2.98
25,9,2022-10-06,93.39
25,16,2022-02-06,80.4
25,38,2022-02-15,55.54
25,45,2022-07-28,29.95
26,39,2022-06-21,41.45
26,43,2022-11-14,61.12
26,19,2022-03-27,51.51
26,21,2022-10-02,9.93
26,35,2023-01-01,15.73
26,51,2022-01-04,52.63
26,7,2022-09-06,37.7
26,25,2022-01-04,75.6
27,33,2022-08-10,0.04
27,37,2022-03-10,87.82
27,1,2022-07-20,49.31
27,7,2022-11-05,93.82
27,11,2022-10-26,5.39
28,14,2022-10-22,3.09
28,3,2022-03-30,37.25
28,5,2022-02-27,7.89
28,12,2022-05-13,82.32
28,54,2022-02-04,34.31
29,44,2022-09-10,6.9
29,52,2022-10-09,83.11
29,31,2022-11-14,46.59
29,41,2022-04-13,23.92
29,12,2022-06-29,88.83
30,10,2022-09-19,46.51
30,48,2022-11-12,75.28
30,44,2022-08-01,52.54
30,57,2022-02-20,38.78
30,16,2022-03-18,27.2
31,25,2022-07-25,46.91
31,42,2022-06-30,63.9
31,12,2022-03-14,20.34
31,38,2022-04-22,46.38
31,1,2022-11-15,18.39
31,15,2022-07-17,39.12
