id_student,date_registration,date_unregistration
1,2022-02-06,
2,2022-03-03,
3,2022-04-21,
4,2022-02-15,
5,2022-04-17,
6,2022-03-27,
7,2022-02-02,
8,2022-05-27,
9,2022-01-08,
10,2022-01-12,
11,2022-04-11,
12,2022-03-23,
13,2022-01-24,
14,2022-02-25,
15,2022-03-31,
16,2022-04-30,
17,2022-01-03,
18,2022-04-05,
19,2022-02-12,
20,2022-05-26,
21,2022-02-24,
22,2022-05-07,
23,2022-03-27,
24,2022-05-08,
25,2022-05-10,
26,2022-05-26,
27,2022-01-03,
28,2022-03-02,
29,2022-03-29,
30,2022-01-18,
31,2022-02-12,
32,2022-01-08,
33,2022-05-27,
34,2022-03-15,
35,2022-01-13,
36,2022-02-16,
37,2022-02-15,
38,2022-03-03,
39,2022-01-13,
40,2022-02-21,
41,2022-01-21,
42,2022-04-21,
43,2022-02-03,
44,2022-02-15,
45,2022-05-01,
46,2022-01-25,
47,2022-05-23,
48,2022-01-20,
49,2022-01-05,
50,2022-05-10,
51,2022-04-13,
52,2022-02-24,
53,2022-04-05,
54,2022-05-11,
55,2022-05-02,
56,2022-01-14,
57,2022-04-29,
58,2022-04-05,
59,2022-03-11,
60,2022-03-06,
61,2022-05-15,
62,2022-04-26,
63,2022-04-02,
64,2022-05-23,
65,2022-01-10,
66,2022-03-12,
67,2022-01-03,
68,2022-04-15,
69,2022-04-11,
70,2022-01-08,
71,2022-03-20,
72,2022-05-12,
73,2022-02-24,
74,2022-01-05,
75,2022-04-06,
76,2022-03-21,
77,2022-04-05,
78,2022-03-19,
79,2022-03-12,
80,2022-02-09,
81,2022-01-21,
82,2022-01-10,
83,2022-04-01,
84,2022-05-23,
85,2022-05-28,
86,2022-04-21,
87,2022-03-08,
88,2022-03-30,
89,2022-04-21,
90,2022-05-08,
91,2022-03-11,
92,2022-03-03,
93,2022-02-15,
94,2022-01-02,
95,2022-02-04,
96,2022-03-20,
97,2022-02-27,
98,2022-01-09,
99,2022-01-02,
100,2022-04-01,
101,2022-02-16,
102,2022-05-17,
103,2022-04-19,
104,2022-02-20,
105,2022-03-25,
106,2022-02-22,
107,2022-03-26,
108,2022-03-26,
109,2022-03-09,
110,2022-05-09,
111,2022-02-20,
112,2022-03-22,
113,2022-05-05,
114,2022-03-19,
115,2022-03-13,
116,2022-01-10,
117,2022-01-07,
118,2022-02-16,
119,2022-04-20,
120,2022-01-24,
